ft2,m2,fibra,banos,precio
1271,118.0797638,1,,2708852.241
,,1,,5431596.311
102,9.47611008,1,,5894434.775
826,76.73791104,2,,6840156.707
1117,103.7726957,1,,5211677.257
681,63.26697024,2,,3320981.627
1422,132.1081229,1,,5287528.323
1917,178.0951277,2,,4178947.874
1718,159.6074227,2,2,6893008.57
357,33.16638528,2,,5745841.899
624,57.97149696,2,,4174514.424
593,55.09150272,2,,7839774.416
805,74.7869472,1,,6418114.526
1504,139.7261722,2,5,3229660.48
1301,120.866855,2,,6022239.914
1724,160.164841,2,,3802084.231
1189,110.4617146,1,,2653757.591
887,82.40499648,1,,5432451.185
561,52.11860544,2,,7511774.347
496,46.07990784,1,,3450918.155
925,85.935312,1,,2945936.783
1297,120.4952429,2,,6638610.256
697,64.75341888,2,2,4877154.144
1315,122.1674976,2,,2792664.059
1041,96.71206464,2,,7813164.847
895,83.1482208,1,,3866102.241
582,54.06956928,2,,4356494.655
753,69.95598912,2,,5702777.614
180,16.7225472,1,,5074986.61
1128,104.7946291,2,,7011951.125
1090,101.2643136,1,,7008828.112
1096,101.8217318,2,,6732771.788
774,71.90695296,1,,5788938.551
558,51.83989632,2,3,4122110.202
1719,159.7003258,1,,6938843.689
1298,120.5881459,2,,1510295.567
1321,122.7249158,2,,2495148.505
-5900,-548.127936,1,2,6319947.205
1152,107.0243021,2,5,7728197.942
1591,147.8087366,1,,3552642.766
1414,131.3648986,1,,4604205.272
1295,120.3094368,2,,2190863.145
1593,147.9945427,2,,4458131.33
1016,94.38948864,2,,5775254.444
1291,119.9378246,1,,7453690.446
400,37.161216,2,,3247470.88
1731,160.8151622,1,,4525864.263
874,81.19725696,1,1,3857898.501
1208,112.2268723,2,2,5416980.265
798,74.13662592,1,,3554590.269
